id	name	description	namespace
NULL	Podemos Participa Andalucía (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Aragón (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Principado de Asturias (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Cantabria (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Castilla-La Mancha (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Castilla y León (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Cataluña/Catalunya (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Comunitat Valenciana (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Extremadura (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Galicia (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Comunidad de Madrid (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Región de Murcia (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Comunidad Foral de Navarra (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa País Vasco/Euskadi (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa La Rioja (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Illes Balears (Comunidad Autónoma)		Podemos Participa
NULL	Podemos Participa Canarias (Comunidad Autónoma)		Podemos Participa

